Pos,P+,Artist,Title,Wks,Pk,(x?),Streams,Streams+,Total
106,-15,J. Cole ,No Role Modelz,167,64,,9510822,-215269.0,783103294
107,-31,Kaifi Khalil ,Kahani Suno 2.0,4,76,,9508477,-756679.0,37798934
108,-22,Bruno Mars ,When I Was Your Man,72,72,,9483200,-391428.0,268358536
109,+34,The Weeknd ,Call Out My Name,71,1,1,9481223,1206335.0,664341546
110,+32,AgroPlay ,Nosso Quadro,2,110,,9436641,1159725.0,17713557
111,-1,Sachin,Jigar,3,90,,9427755,272233.0,28739770
112,-13,Eminem ,Without Me,88,31,,9390697,-59676.0,637565248
113,-5,Fuerza Regida ,Ch y la Pizza,6,108,,9313335,110150.0,49319463
114,NEW,Taiu ,Rara Vez,1,114,,9285488,,9285488
115,-20,Taylor Swift ,Lavender Haze,19,2,1,9217578,-330303.0,306729835
116,+9,SZA ,Nobody Gets Me,12,12,,9117420,424003.0,162710285
117,-8,Coldplay ,Viva La Vida,31,98,,9031094,-168083.0,224730061
118,-2,Tory Lanez ,The Color Violet,9,70,,9015777,35761.0,88398492
119,+8,Shakira ,Monotonía,19,21,,8970075,380913.0,259679390
120,-5,Coldplay ,Yellow,115,56,,8934877,-65351.0,801109039
121,-10,Quevedo ,PLAYA DEL INGLÉS,11,71,,8893086,-167019.0,97789979
122,-1,Adele ,Easy On Me,72,1,7,8849903,32147.0,1215026322
123,-41,King ,Maan Meri Jaan,15,40,,8782470,-1284949.0,178473449
124,-32,Lady Gaga ,Bloody Mary,14,31,,8777489,-827452.0,185887654
